reporter,argentina,australia,austria,bangladesh,belgium,brazil,canada,chile,china,colombia,czechia,denmark,egypt,finland,france,germany,hongkong,india,indonesia,iran,ireland,israel,italy,japan,korea,malaysia,mexico,netherlands,newzealand,nigeria,norway,pakistan,peru,philippines,poland,portugal,romania,russia,saudiarabia,singapore,southafrica,spain,sweden,switzerland,thailand,turkey,unitedarab,unitedkingdom,usa,vietnam
argentina,0,3423,2190,0,2823,24547,1681,11526,14504,11653,160,562,86,514,39857,8880,22158,21548,3225,0,377,1125,13291,18476,9089,4976,56779,8845,27319,6522,607,254,12378,0,4414,1376,1136,5383,0,1697,994,11096,1948,4661,2255,5405,0,4006,32829,0
australia,1741,0,7518,14263,2326,3009,10661,2265,54671,5916,8489,2453,183,4111,13582,76048,10610,2975,2820,4100,1586,9251,51705,120813,19141,5106,1332,10925,48808,33191,1703,587,107,7166,724,1636,8466,57245,6861,3359,1751,3564,9247,7819,5758,770,2617,68287,192673,2176
austria,6162,48003,0,0,11379,8824,49520,20401,30864,10117,188293,2841,12671,4741,57705,978274,137949,9369,10821,19257,12783,3363,134604,463605,287872,4304,25406,72984,2193,798,9791,1518,376,97506,28896,50600,84963,64399,1260,60122,2181,119629,14261,99798,38261,12294,279085,55220,986857,17587
bangladesh,0,1164,170,0,267,0,95,0,285,1318,18,195,108,447,404,103,0,40,637,0,149,0,0,0,79,2496,0,561,2445,0,391,0,289,0,17,0,0,0,0,139,124,638,362,365,126,1344,1145,205359,4685,0
belgium,1011,13924,48930,17480,0,1025,10263,964,3591,9439,3517,5936,400,22303,445648,587039,15231,14897,1848,22614,7225,3885,61965,34960,34898,56445,3710,455938,2675,4184,10403,169,652,172,8632,199507,63416,4016,19822,11273,1489,82804,176295,17751,1965,1007,984,78979,102239,21756
brazil,27250,5019,5781,0,35871,0,6769,23659,7514,2614,603,2458,173,1220,23928,64899,3019,14901,2899,24650,1396,2583,12988,34275,5569,2788,12894,16112,3861,2052,2263,0,8864,662,2257,2642,4810,7050,0,5396,4353,17973,4061,2489,2375,275,3640,34515,188251,13521
canada,14724,109434,8311,7811,110249,16193,0,10000,261691,17909,45871,20410,1051,25795,252886,339928,37736,8252,32659,16724,10310,55980,55196,210189,106591,5940,72619,388649,65392,7382,36923,981,15332,21079,22548,2926,5887,32355,20668,63859,5616,114538,43843,79651,4010,2029,24414,210315,4284680,2653
chile,2503,4291,699,0,1045,9053,2976,0,12727,12472,7255,655,0,971,10266,16452,2227,0,11963,0,456,3650,3007,6385,5102,0,24998,69,2037,0,277,0,11723,4619,343,3531,10000,212,0,363,106,4525,3611,5707,6480,0,1950,5537,5664,0
china,1131927,6115092,150823,70572,1012704,4858366,6114410,3175078,0,1252676,2937116,454485,45425,661173,8702635,30297480,5183865,3023118,7974127,34694,511643,964864,3077770,13025688,6349107,1745410,3770077,6876148,1385049,132601,949647,74798,1118273,835727,2117638,145062,99253,4318736,177556,1419164,582607,4581437,1743505,1460536,1871935,1692439,1514501,10822405,65839905,657729
colombia,1453,965,3783,0,264,0,1463,12167,6361,0,1525,2332,1107,473,938,65286,0,0,0,0,1349,4750,7704,4543,145,0,19339,1569,280,0,1151,0,295,0,1164,962,0,0,0,2218,247,1097,275,1002,39221,4675,1164,1440,4500,0
czechia,8611,30970,170884,0,6246,2207,241070,12853,431891,2029,0,26368,61903,2424,238382,3176808,93929,2703,8601,15786,47208,49653,181825,278870,52595,11712,4492,17789,1996,466,15674,1369,3484,3578,366301,4944,21287,260523,26242,38031,2565,65835,29059,90255,85226,32783,113869,230392,424932,17386
denmark,10404,23284,1641,0,4381,9990,9474,792,36219,6353,23471,0,2460,145953,10555,864342,36199,2770,21977,3059,180,8163,2485,40015,93304,3501,2794,16581,1008,2710,189822,0,789,5090,3992,283,375,145444,721,14821,2298,23968,135054,10610,2394,7983,3135,98121,220976,2696
egypt,3512,455,257,0,1356,843,367,1358,15924,273,422,516,0,91,3637,10409,8766,3983,337,373,244,1512,2636,3771,241,1603,365,4959,491,0,303,19271,0,0,256,496,0,232,4114,810,390,1348,289,402,167,4584,2821,638,5638,0
finland,2334,22138,1544,0,138,1265,5975,369,907,3694,735,575,412,0,158,36,34048,165,1659,0,116,255,972,35440,6394,1109,432,13052,1994,0,1118,145,3073,173,150,296,337,139568,2460,2933,2609,1180,47,6520,2171,2770,8145,13179,239868,500
france,42474,246456,225797,4959,316707,80226,135204,13910,1366169,26229,87534,1690,329,37332,0,2470980,330941,6949,4529,9406,13228,68018,2196377,2638914,916004,2419,48270,457140,51931,1212,147212,2176,71563,659,396030,545080,92881,177357,73454,239012,10498,816769,20541,698450,30016,41897,12773,1161155,3319714,6429
